Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
demo,mem,4_partitions,3600_10_LC_TS,X,X,X,2.928571428571429,class_level,-1,X,6.593406593406594,15.2579787638705,6.250000000000002
partsunlimited,mem,5_partitions,3600_10_LC_TS,X,X,X,23.90542869852404,method_level,-1,X,12.087912087912088,7.0370495559331,7.055578848068548
partsunlimited,mem,5_partitions,3600_10_LC_TS,X,X,X,14.717459926519162,class_level,-1,X,8.791208791208792,7.065059458985277,7.0798092077258925
spring-petclinic,mem,3_partitions,3600_10_LC_TS,X,X,X,78.75,method_level,-1,X,0.0,33.888900942788084,27.8061774219433
spring-petclinic,mem,3_partitions,3600_10_LC_TS,X,X,X,74.62121212121212,class_level,-1,X,0.0,33.888900942788084,27.8061774219433
demo,mem,4_partitions,3600_10_LC_TS_SS,X,X,X,46.03728589011155,method_level,-1,X,0.0,21.965676169695108,5.282877482203072
demo,mem,4_partitions,3600_10_LC_TS_SS,X,X,X,8.840729274165806,class_level,-1,X,0.0,21.965676169695108,5.282877482203072
partsunlimited,mem,5_partitions,3600_10_LC_TS_SS,X,X,X,38.575088105198496,method_level,-1,X,9.090909090909092,8.506617550105382,8.539919806432955
partsunlimited,mem,5_partitions,3600_10_LC_TS_SS,X,X,X,37.4344392894164,class_level,-1,X,9.090909090909092,8.54059998467044,8.573150680320879
spring-petclinic,mem,3_partitions,3600_10_LC_TS_SS,X,X,X,40.833333333333336,method_level,-1,X,0.0,27.55631777477773,25.86112407320553
spring-petclinic,mem,3_partitions,3600_10_LC_TS_SS,X,X,X,36.73669467787114,class_level,-1,X,0.0,27.55631777477773,25.86112407320553
demo,mem,4_partitions,3600_10_SS,X,X,X,48.166022926458496,method_level,-1,X,0.0,15.893140201327041,7.046799354491664
demo,mem,4_partitions,3600_10_SS,X,X,X,14.381561137987086,class_level,-1,X,0.0,15.893140201327041,7.046799354491664
partsunlimited,mem,5_partitions,3600_10_SS,X,X,X,46.59821919737838,method_level,-1,X,1.282051282051282,7.893419277301315,7.945882685664077
partsunlimited,mem,5_partitions,3600_10_SS,X,X,X,32.915751088382514,class_level,-1,X,1.282051282051282,7.893419277301315,7.945882685664077
spring-petclinic,mem,3_partitions,3600_10_SS,X,X,X,38.23641823641823,method_level,-1,X,0.0,28.885945115479096,22.893194078381445
spring-petclinic,mem,3_partitions,3600_10_SS,X,X,X,15.757575757575756,class_level,-1,X,0.0,28.885945115479096,22.893194078381445
demo,mem,4_partitions,3600_10_TS,X,X,X,40.012062241164415,method_level,-1,X,0.0,14.016540843768412,5.091448344043499
demo,mem,4_partitions,3600_10_TS,X,X,X,1.3574660633484164,class_level,-1,X,0.7352941176470588,14.016540843768412,5.091448344043499
partsunlimited,mem,5_partitions,3600_10_TS,X,X,X,22.267001377852644,method_level,-1,X,10.606060606060606,8.145985548613808,8.154544253462424
partsunlimited,mem,5_partitions,3600_10_TS,X,X,X,10.845970722870922,class_level,-1,X,10.606060606060606,8.127309243660095,8.139976618607855
spring-petclinic,mem,3_partitions,3600_10_TS,X,X,X,36.59188034188035,method_level,-1,X,0.0,38.969923659021056,29.557867041386153
spring-petclinic,mem,3_partitions,3600_10_TS,X,X,X,14.285714285714285,class_level,-1,X,0.0,38.969923659021056,29.557867041386153
demo,mem,4_partitions,3600_10_TS_SS,X,X,X,50.50420488419826,method_level,-1,X,0.0,14.932650372246941,6.075949367088607
demo,mem,4_partitions,3600_10_TS_SS,X,X,X,11.773980405559351,class_level,-1,X,0.0,14.932650372246941,6.075949367088607
partsunlimited,mem,5_partitions,3600_10_TS_SS,X,X,X,35.73791482012735,method_level,-1,X,6.666666666666667,6.787143324702516,6.810691745776229
partsunlimited,mem,5_partitions,3600_10_TS_SS,X,X,X,27.061450448833995,class_level,-1,X,4.761904761904762,6.786224415457806,6.808974362139803
spring-petclinic,mem,3_partitions,3600_10_TS_SS,X,X,X,60.56277056277056,method_level,-1,X,0.0,29.886322910793528,23.23223046114908
spring-petclinic,mem,3_partitions,3600_10_TS_SS,X,X,X,52.25,class_level,-1,X,0.0,29.886322910793528,23.23223046114908
demo,mono2micro,4_partitions,business,X,X,X,91.66947158074335,method_level,-1,X,0.0,48.411738802859006,24.576271186440678
demo,mono2micro,4_partitions,business,X,X,X,80.25064350064349,class_level,-1,X,0.0,48.411738802859006,24.576271186440678
jpetstore,mono2micro,3_partitions,business,X,X,X,73.6445185361594,method_level,-1,X,100.0,33.12464662430204,33.10704882172313
jpetstore,mono2micro,3_partitions,business,X,X,X,67.95454545454545,class_level,-1,X,100.0,33.12464662430204,33.10704882172313
partsunlimited,mono2micro,5_partitions,business,X,X,X,55.93484670336755,method_level,-1,X,40.0,19.912170545599746,19.960293231330965
partsunlimited,mono2micro,5_partitions,business,X,X,X,42.924537798941344,class_level,-1,X,40.0,19.912170545599746,19.960293231330965
spring-petclinic,mono2micro,3_partitions,business,X,X,X,82.9923273657289,method_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
spring-petclinic,mono2micro,3_partitions,business,X,X,X,77.77777777777777,class_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
demo,tomicroservices,4_partitions,cohesion,X,X,X,40.296387945409734,method_level,-1,X,50.0,26.218625951581743,24.347826086956527
jpetstore,tomicroservices,3_partitions,cohesion,X,X,X,60.02415458937197,method_level,-1,X,66.66666666666666,33.00877015460592,33.00329574892656
partsunlimited,tomicroservices,5_partitions,cohesion,X,X,X,34.40582347588717,method_level,-1,X,70.0,19.39678941791765,19.443360824098153
spring-petclinic,tomicroservices,3_partitions,cohesion,X,X,X,63.452157598499056,method_level,-1,X,33.33333333333333,34.72593082379379,32.880238904525164
demo,tomicroservices,4_partitions,coupling,X,X,X,46.321040505176924,method_level,-1,X,50.0,29.102380403649093,24.347826086956523
jpetstore,tomicroservices,3_partitions,coupling,X,X,X,34.64285714285714,method_level,-1,X,33.33333333333333,32.978149103870855,33.023675938286154
partsunlimited,tomicroservices,5_partitions,coupling,X,X,X,35.37310037310037,method_level,-1,X,50.0,19.178001637195425,19.412754720491
spring-petclinic,tomicroservices,3_partitions,coupling,X,X,X,66.66666666666666,method_level,-1,X,33.33333333333333,33.42607830868525,32.62418652478481
demo,cargo,4_partitions,default,X,X,X,40.55237525632263,method_level,-1,X,50.0,31.539606249507397,24.29245283018868
jpetstore,cargo,3_partitions,default,X,X,X,52.14646464646465,method_level,-1,X,33.33333333333333,32.36889289119691,32.37737806620629
partsunlimited,cargo,5_partitions,default,X,X,X,35.10833635423799,method_level,-1,X,40.0,19.468833434135828,19.578237668900094
spring-petclinic,cargo,3_partitions,default,X,X,X,0.0,method_level,-1,X,0.0,0.0,0.0
demo,datacentric,n_partitions,default,X,X,X,63.43652949198382,method_level,-1,X,50.0,38.90158994425823,24.639423076923077
demo,datacentric,n_partitions,default,X,X,X,37.98825096236294,class_level,-1,X,66.66666666666666,38.90158994425823,24.639423076923077
jpetstore,datacentric,n_partitions,default,X,X,X,79.74038395846144,method_level,-1,X,33.33333333333333,33.074521529125164,33.08274685119709
jpetstore,datacentric,n_partitions,default,X,X,X,70.81185888525337,class_level,-1,X,33.33333333333333,33.074521529125164,33.08274685119709
partsunlimited,datacentric,n_partitions,default,X,X,X,77.79128644298329,method_level,-1,X,66.66666666666666,25.027932383703334,25.040825184804
partsunlimited,datacentric,n_partitions,default,X,X,X,71.71248553088499,class_level,-1,X,66.66666666666666,25.027932383703334,25.040825184804
spring-petclinic,datacentric,n_partitions,default,X,X,X,67.77777777777777,method_level,-1,X,33.33333333333333,36.11821523400698,33.45724889893978
spring-petclinic,datacentric,n_partitions,default,X,X,X,64.1912320483749,class_level,-1,X,33.33333333333333,36.11821523400698,33.45724889893978
demo,ground_truth,n_partitions,default,X,X,X,96.51439472457683,method_level,-1,X,0.0,47.13354820421579,24.571428571428573
demo,ground_truth,n_partitions,default,X,X,X,100.0,class_level,-1,X,0.0,44.6030743249047,24.436090225563913
jpetstore,ground_truth,n_partitions,default,X,X,X,77.54123489159183,method_level,-1,X,33.33333333333333,33.11756806293985,33.09948717263762
jpetstore,ground_truth,n_partitions,default,X,X,X,71.43884956384956,class_level,-1,X,33.33333333333333,33.11756806293985,33.09948717263762
partsunlimited,ground_truth,n_partitions,default,X,X,X,89.7326761347814,method_level,-1,X,10.0,20.051941791478765,20.115518231379603
partsunlimited,ground_truth,n_partitions,default,X,X,X,90.20001860222855,class_level,-1,X,0.0,20.10823616747011,20.19139877623016
spring-petclinic,ground_truth,n_partitions,default,X,X,X,79.76068376068376,method_level,-1,X,33.33333333333333,36.84645360286915,34.01079301857426
spring-petclinic,ground_truth,n_partitions,default,X,X,X,85.38737248414668,class_level,-1,X,0.0,38.05680768006188,34.415372436205764
demo,hydec,n_partitions,default,X,X,X,59.84242261484861,method_level,-1,X,0.0,34.8394315519625,12.039473684210526
demo,hydec,n_partitions,default,X,X,X,47.131422363111945,class_level,-1,X,3.571428571428571,34.8394315519625,12.039473684210526
jpetstore,hydec,n_partitions,default,X,X,X,52.83249771100154,method_level,-1,X,3.571428571428571,12.099436665507007,12.115700526384352
jpetstore,hydec,n_partitions,default,X,X,X,32.00916467045499,class_level,-1,X,3.571428571428571,12.099436665507007,12.115700526384352
partsunlimited,hydec,n_partitions,default,X,X,X,91.96516974109338,method_level,-1,X,66.66666666666666,33.23221075080915,33.232509463357566
partsunlimited,hydec,n_partitions,default,X,X,X,89.43515165659593,class_level,-1,X,66.66666666666666,33.23221075080915,33.232509463357566
spring-petclinic,hydec,n_partitions,default,X,X,X,49.30555555555555,method_level,-1,X,0.0,43.18968485214681,35.96557582998146
spring-petclinic,hydec,n_partitions,default,X,X,X,42.34848484848485,class_level,-1,X,0.0,43.18968485214681,35.96557582998146
jpetstore,log2ms,n_partitions,default,X,X,X,76.0443178220956,method_level,-1,X,33.33333333333333,33.1206497248518,33.102951463230355
jpetstore,log2ms,n_partitions,default,X,X,X,69.86965545869656,class_level,-1,X,33.33333333333333,33.1206497248518,33.102951463230355
spring-petclinic,log2ms,n_partitions,default,X,X,X,39.38525242873069,method_level,-1,X,14.285714285714285,16.879902618203833,14.057227973714454
spring-petclinic,log2ms,n_partitions,default,X,X,X,29.190179190179187,class_level,-1,X,14.285714285714285,16.879902618203833,14.057227973714454
demo,mosaic,n_partitions,default,X,X,X,100.0,method_level,-1,X,0.0,45.67511278378107,24.456521739130434
jpetstore,mosaic,n_partitions,default,X,X,X,80.32436162870947,method_level,-1,X,0.0,33.06288437532552,33.06915068310831
partsunlimited,mosaic,n_partitions,default,X,X,X,90.76263961561352,method_level,-1,X,10.0,20.120709427450358,20.194009554584042
spring-petclinic,mosaic,n_partitions,default,X,X,X,100.0,method_level,-1,X,0.0,53.66093823768738,50.79991932236232
demo,tomicroservices,4_partitions,functionality,X,X,X,34.99870525021039,method_level,-1,X,50.0,27.57602999685897,24.34782608695652
jpetstore,tomicroservices,3_partitions,functionality,X,X,X,34.64285714285714,method_level,-1,X,33.33333333333333,32.978149103870855,33.023675938286154
partsunlimited,tomicroservices,5_partitions,functionality,X,X,X,29.51158940397351,method_level,-1,X,40.0,19.207378198266806,19.40730158303484
spring-petclinic,tomicroservices,3_partitions,functionality,X,X,X,60.317460317460316,method_level,-1,X,0.0,33.90472315112723,32.72672727762202
demo,mono2micro,4_partitions,natural,X,X,X,91.66947158074335,method_level,-1,X,0.0,48.411738802859006,24.576271186440678
demo,mono2micro,4_partitions,natural,X,X,X,80.25064350064349,class_level,-1,X,0.0,48.411738802859006,24.576271186440678
jpetstore,mono2micro,3_partitions,natural,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
jpetstore,mono2micro,3_partitions,natural,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
partsunlimited,mono2micro,5_partitions,natural,X,X,X,68.9241979231868,method_level,-1,X,100.0,33.25120496515229,33.26674875666117
partsunlimited,mono2micro,5_partitions,natural,X,X,X,51.00890451346126,class_level,-1,X,100.0,33.25120496515229,33.26674875666117
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,82.9923273657289,method_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,77.77777777777777,class_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
demo,tomicroservices,4_partitions,overhead,X,X,X,38.51650268648385,method_level,-1,X,50.0,27.429419818035853,24.347826086956523
jpetstore,tomicroservices,3_partitions,overhead,X,X,X,40.73260073260074,method_level,-1,X,66.66666666666666,32.97918350939672,33.02503874041934
partsunlimited,tomicroservices,5_partitions,overhead,X,X,X,35.32452981192476,method_level,-1,X,50.0,19.147314237509303,19.387094190280756
spring-petclinic,tomicroservices,3_partitions,overhead,X,X,X,57.125819916517585,method_level,-1,X,0.0,36.31541311359443,33.3601849893348
