Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
partsunlimited,mem,5,3600_1000_LC_SS,method_level,0.0,397 (96.4%),3,4,389,132.33333333333334,222.27985363800593,4.0
partsunlimited,mem,5,3600_1000_LC_SS,class_level,0.0,50 (94.3%),3,1,47,16.666666666666668,26.27419519858474,2.0
partsunlimited,mem,5,3600_1000_LC_TS,method_level,0.0,410 (99.5%),1,410,410,410.0,0.0,410.0
partsunlimited,mem,5,3600_1000_LC_TS,class_level,0.0,52 (98.1%),2,2,52,27.0,35.35533905932738,27.0
partsunlimited,mem,5,3600_1000_LC_TS_SS,method_level,0.0,410 (99.5%),1,410,410,410.0,0.0,410.0
partsunlimited,mem,5,3600_1000_LC_TS_SS,class_level,0.0,52 (98.1%),1,52,52,52.0,0.0,52.0
partsunlimited,mem,5,3600_1000_SS,method_level,10.831234256926948,397 (96.4%),2,43,354,198.5,219.9102089490163,198.5
partsunlimited,mem,5,3600_1000_SS,class_level,0.0,50 (94.3%),2,2,48,25.0,32.526911934581186,25.0
partsunlimited,mem,5,3600_1000_TS,method_level,0.0,410 (99.5%),2,11,399,205.0,274.35743110038044,205.0
partsunlimited,mem,5,3600_1000_TS,class_level,0.0,52 (98.1%),2,2,52,27.0,35.35533905932738,27.0
partsunlimited,mem,5,3600_1000_TS_SS,method_level,0.0,410 (99.5%),1,410,410,410.0,0.0,410.0
partsunlimited,mem,5,3600_1000_TS_SS,class_level,0.0,52 (98.1%),1,52,52,52.0,0.0,52.0
demo,mem,4,3600_100_LC,method_level,0.0,102 (34.6%),1,102,102,102.0,0.0,102.0
demo,mem,4,3600_100_LC,class_level,0.0,24 (51.1%),1,24,24,24.0,0.0,24.0
spring-petclinic,mem,3,3600_100_LC,method_level,0.0,97 (86.6%),2,8,89,48.5,57.27564927611035,48.5
spring-petclinic,mem,3,3600_100_LC,class_level,12.5,16 (69.6%),2,2,14,8.0,8.48528137423857,8.0
demo,mem,4,3600_100_LC_SS,method_level,8.230452674897116,243 (82.4%),9,2,118,27.0,37.94733192202055,9.0
demo,mem,4,3600_100_LC_SS,class_level,33.333333333333336,42 (89.4%),9,1,13,4.666666666666667,4.8218253804964775,2.0
spring-petclinic,mem,3,3600_100_LC_SS,method_level,12.871287128712872,101 (90.2%),3,8,80,33.666666666666664,40.203648258999245,13.0
spring-petclinic,mem,3,3600_100_LC_SS,class_level,27.77777777777778,18 (78.3%),3,2,13,6.0,6.082762530298219,3.0
demo,mem,4,3600_100_LC_TS,method_level,23.83720930232558,172 (58.3%),8,1,119,21.5,39.69166879117797,7.0
demo,mem,4,3600_100_LC_TS,class_level,32.432432432432435,37 (78.7%),8,1,23,4.625,7.4821215478728265,2.0
spring-petclinic,mem,3,3600_100_LC_TS,method_level,0.0,86 (76.8%),2,8,78,43.0,49.49747468305833,43.0
spring-petclinic,mem,3,3600_100_LC_TS,class_level,14.28571428571429,14 (60.9%),2,2,12,7.0,7.0710678118654755,7.0
demo,mem,4,3600_100_LC_TS_SS,method_level,10.756972111553786,251 (85.1%),12,1,107,20.916666666666668,31.090654349479166,7.0
demo,mem,4,3600_100_LC_TS_SS,class_level,22.72727272727273,44 (93.6%),12,1,14,3.6666666666666665,4.141438777950865,2.0
spring-petclinic,mem,3,3600_100_LC_TS_SS,method_level,0.0,92 (82.1%),2,8,84,46.0,53.74011537017761,46.0
spring-petclinic,mem,3,3600_100_LC_TS_SS,class_level,13.33333333333333,15 (65.2%),2,2,13,7.5,7.7781745930520225,7.5
demo,mem,4,3600_100_SS,method_level,0.0,251 (85.1%),3,2,244,83.66666666666667,138.86084161250548,5.0
demo,mem,4,3600_100_SS,class_level,0.0,43 (91.5%),3,1,40,14.333333333333334,22.233608194203057,2.0
spring-petclinic,mem,3,3600_100_SS,method_level,23.762376237623762,101 (90.2%),3,9,77,33.666666666666664,37.64748774265467,15.0
spring-petclinic,mem,3,3600_100_SS,class_level,21.052631578947366,19 (82.6%),3,2,15,6.333333333333333,7.505553499465135,2.0
demo,mem,4,3600_100_TS,method_level,45.128205128205124,195 (66.1%),4,13,107,48.75,40.61506288722613,37.5
demo,mem,4,3600_100_TS,class_level,31.707317073170728,41 (87.2%),4,4,28,10.25,11.84271928232701,4.5
spring-petclinic,mem,3,3600_100_TS,method_level,0.0,82 (73.2%),2,8,74,41.0,46.66904755831214,41.0
spring-petclinic,mem,3,3600_100_TS,class_level,16.666666666666664,12 (52.2%),2,2,10,6.0,5.656854249492381,6.0
